"filename", "language", "C#", "Log", "ShaderLab", "HLSL", "JSON", "Markdown", "YAML", "JSON with Comments", "XML", "HTML", "Ini", "comment", "blank", "total"
"d:\UnityProjects\Agent Arena\Assembly-CSharp-Editor.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 888, 0, 0, 7, 1, 896
"d:\UnityProjects\Agent Arena\Assembly-CSharp.Player.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 945, 0, 0, 7, 1, 953
"d:\UnityProjects\Agent Arena\Assembly-CSharp.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1007, 0, 0, 7, 1, 1015
"d:\UnityProjects\Agent Arena\Assets\BioIK\BioIK.cs", "C#", 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 48, 299
"d:\UnityProjects\Agent Arena\Assets\BioIK\Demo\Scripts\CameraController.cs", "C#", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 84
"d:\UnityProjects\Agent Arena\Assets\BioIK\Demo\Scripts\Demo.cs", "C#", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 84
"d:\UnityProjects\Agent Arena\Assets\BioIK\Demo\Scripts\MouseDrag.cs", "C#", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 63
"d:\UnityProjects\Agent Arena\Assets\BioIK\Demo\Scripts\Rotate.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"d:\UnityProjects\Agent Arena\Assets\BioIK\Editor\BioIKEditor.cs", "C#", 693, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 114, 841
"d:\UnityProjects\Agent Arena\Assets\BioIK\Helpers\Enums.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\UnityProjects\Agent Arena\Assets\BioIK\Helpers\Evolution.cs", "C#", 3140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2525, 440, 6105
"d:\UnityProjects\Agent Arena\Assets\BioIK\Helpers\Model.cs", "C#", 468, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 56, 577
"d:\UnityProjects\Agent Arena\Assets\BioIK\Helpers\Utility.cs", "C#", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34, 177
"d:\UnityProjects\Agent Arena\Assets\BioIK\Setup\BioJoint.cs", "C#", 433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 75, 538
"d:\UnityProjects\Agent Arena\Assets\BioIK\Setup\BioObjective.cs", "C#", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 82
"d:\UnityProjects\Agent Arena\Assets\BioIK\Setup\BioSegment.cs", "C#", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 75
"d:\UnityProjects\Agent Arena\Assets\BioIK\Setup\Objectives\Displacement.cs", "C#", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 47
"d:\UnityProjects\Agent Arena\Assets\BioIK\Setup\Objectives\Distance.cs", "C#", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 133
